2018-05-29 16:51:12 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:51:12 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:51:12 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:51:12 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:51:12 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:51:12 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:51:12 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:51:12 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:56:40 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:56:40 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:56:40 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:56:40 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:56:40 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:56:40 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:56:40 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:56:40 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:58:24 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:58:24 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:58:24 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:58:24 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:58:24 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:58:24 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:58:24 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:58:24 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:03:25 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:03:25 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:03:25 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:03:25 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:03:25 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:03:25 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:03:25 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:03:25 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:04:41 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:04:41 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:04:41 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:04:41 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:04:41 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:04:41 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:04:41 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:04:41 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:05:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:05:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:05:57 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:05:57 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:05:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:05:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:05:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:05:57 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:06:36 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:06:36 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:06:36 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:06:36 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:06:36 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:06:36 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:06:36 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:06:36 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:12:27 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:12:27 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:12:27 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:12:27 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:12:27 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:12:27 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:12:27 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:12:27 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:13:09 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:13:09 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:13:09 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:13:09 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:13:09 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:13:09 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:13:09 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:13:09 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:13:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:13:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:13:43 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:13:43 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:13:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:13:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:13:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:13:43 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:14:37 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:14:37 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:14:37 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:14:37 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:14:37 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:14:37 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:14:37 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:14:37 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:17:14 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:17:14 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:17:14 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:17:14 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:17:14 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:17:14 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:17:14 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 17:17:14 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:23:50 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:23:50 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:25:21 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:25:22 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:25:22 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 17:28:03 [main] INFO  tlvparser.TlvParserTest - 0x81 상태
2018-05-29 17:28:03 [main] INFO  tlvparser.TlvParserTest - 0x81 상태
